FECHA (YYMMDD);HORA (HHMM);;
031224;1900;0,664265;
031224;2000;0,7988;
031224;2100;0,571034;
031224;2200;0,492818;
031224;2300;0,519877;
031225;0000;1,07846;
031225;0100;0,629584;
031225;0200;0,287277;
031225;0300;0,817982;
031225;0400;0,607222;
031225;0500;0,359195;
031225;0600;0,442974;
031225;0700;1,04361;
031225;0800;0,924067;
031225;0900;0,579329;
031225;1000;0,758141;
031225;1100;1,01901;
031225;1200;1,29984;
031225;1300;1,39993;
031225;1400;1,35831;
031225;1500;1,68647;
031225;1600;1,6997;
031225;1700;2,69609;
031225;1800;2,29412;
031225;1900;2,1831;
031225;2000;0,912225;
031225;2100;0,635196;
031225;2200;0,463695;
031225;2300;0,384494;
031226;0000;0,570642;
031226;0100;0,33554;
031226;0200;0,402251;
031226;0300;0,622041;
031226;0400;0,376101;
031226;0500;1,15637;
031226;0600;0,42681;
031226;0700;0,453376;
031226;0800;0,898051;
031226;0900;1,1112;
031226;1000;0,73805;
031226;1100;1,11703;
031226;1200;1,66427;
031226;1300;1,49231;
031226;1400;1,49587;
031226;1500;1,47986;
031226;1600;1,81718;
031226;1700;2,24576;
031226;1800;2,45639;
031226;1900;2,02224;
031226;2000;1,94032;
031226;2100;1,61552;
031226;2200;0,879885;
031226;2300;0,980227;
031227;0000;0,950329;
031227;0100;1,30564;
031227;0200;1,77135;
031227;0300;1,91425;
031227;0400;1,41706;
031227;0500;1,23317;
031227;0600;1,40698;
031227;0700;1,6096;
031227;0800;1,27283;
031227;0900;1,50438;
031227;1000;0,83278;
031227;1100;1,78383;
031227;1200;1,38188;
031227;1300;1,34377;
031227;1400;1,45117;
031227;1500;1,21011;
031227;1600;1,44698;
031227;1700;1,60798;
031227;1800;1,46851;
031227;1900;1,16231;
031227;2000;0,738492;
031227;2100;0,544044;
031227;2200;0,801473;
031227;2300;0,837021;
031228;0000;0,75978;
031228;0100;0,701389;
031228;0200;0,276249;
031228;0300;0,436333;
031228;0400;0,583879;
031228;0500;0,237856;
031228;0600;0,425254;
031228;0700;0,0593461;
031228;0800;0,55011;
031228;0900;0,976562;
031228;1000;0,638309;
031228;1100;1,05717;
031228;1200;1,29436;
031228;1300;1,22411;
031228;1400;1,33854;
031228;1500;1,51165;
031228;1600;1,26181;
031228;1700;1,17447;
031228;1800;1,10979;
031228;1900;0,99564;
031228;2000;0,429729;
031228;2100;0,352531;
031228;2200;0,143361;
031228;2300;0,342285;
031229;0000;0,738724;
031229;0100;0,733704;
031229;0200;0,277966;
031229;0300;0,660606;
031229;0400;0,831056;
031229;0500;0,365069;
031229;0600;0,264954;
031229;0700;0,659895;
031229;0800;1,06673;
031229;0900;1,05489;
031229;1000;1,16652;
031229;1100;1,22599;
031229;1200;1,44367;
031229;1300;1,4721;
031229;1400;1,30045;
031229;1500;1,58533;
031229;1600;1,64054;
031229;1700;2,61848;
031229;1800;2,18226;
031229;1900;1,32921;
031229;2000;0,719185;
031229;2100;0,829247;
031229;2200;0,41356;
031229;2300;0,0226978;
031230;0000;0,376812;
031230;0100;0,297966;
031230;0200;0,59306;
031230;0300;0,457492;
031230;0400;0,430686;
031230;0500;0,757421;
031230;0600;0,576666;
031230;0700;1,29811;
031230;0800;0,517277;
031230;0900;0,8705;
031230;1000;1,29225;
031230;1100;1,08873;
031230;1200;1,20224;
031230;1300;1,32099;
031230;1400;1,61447;
031230;1500;2,07683;
031230;1600;2,71563;
031230;1700;2,3167;
031230;1800;2,14525;
031230;1900;1,58293;
031230;2000;0,808968;
031230;2100;0,520103;
031230;2200;0,0966816;
031230;2300;0,454977;
031231;0000;0,320432;
031231;0100;0,462031;
031231;0200;0,498546;
031231;0300;0,803328;
031231;0400;0,626527;
031231;0500;0,730062;
031231;0600;0,555099;
031231;0700;0,3652;
031231;0800;0,749878;
031231;0900;1,07789;
031231;1000;0,895271;
031231;1100;1,34361;
031231;1200;1,57758;
031231;1300;1,57622;
031231;1400;1,82372;
031231;1500;2,37796;
031231;1600;2,45074;
031231;1700;1,6986;
031231;1800;1,79676;
031231;1900;1,16874;
031231;2000;0,809258;
031231;2100;0,816093;
031231;2200;0,304177;
031231;2300;0,483381;
040101;0000;0,314817;
040101;0100;0,579672;
040101;0200;0,664334;
040101;0300;0,355781;
040101;0400;0,4864;
040101;0500;0,398841;
040101;0600;0,497702;
040101;0700;0,0802473;
040101;0800;0,557038;
040101;0900;0,984262;
040101;1000;1,02701;
040101;1100;1,13026;
040101;1200;1,34611;
040101;1300;1,58406;
040101;1400;1,76937;
040101;1500;1,78985;
040101;1600;1,95001;
040101;1700;2,08392;
040101;1800;1,78827;
040101;1900;1,30416;
040101;2000;0,557983;
040101;2100;0,228552;
040101;2200;0,284421;
040101;2300;0,448822;
040102;0000;0,648438;
040102;0100;0,336761;
040102;0200;0,397231;
040102;0300;0,413731;
040102;0400;0,474993;
040102;0500;0,298735;
040102;0600;0,551469;
040102;0700;0,495281;
040102;0800;0,795464;
040102;0900;1,11678;
040102;1000;0,81181;
040102;1100;1,13115;
040102;1200;0,947927;
040102;1300;1,32174;
040102;1400;1,86707;
040102;1500;1,49438;
040102;1600;1,5356;
040102;1700;2,49723;
040102;1800;2,2272;
040102;1900;1,3437;
040102;2000;0,569386;
040102;2100;0,329322;
040102;2200;0,585155;
040102;2300;0,318008;
040103;0000;0,244437;
040103;0100;0,307323;
040103;0200;0,595473;
040103;0300;0,610826;
040103;0400;0,167095;
040103;0500;0,776484;
040103;0600;0,361404;
040103;0700;0,114592;
040103;0800;0,249895;
040103;0900;0,492465;
040103;1000;0,598013;
040103;1100;1,08632;
040103;1200;1,26663;
040103;1300;1,78485;
040103;1400;1,55657;
040103;1500;2,24633;
040103;1600;2,83453;
040103;1700;2,70477;
