FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160201;0000;0,33179;;;
160301;0000;0,551657;;;
160401;0000;0,830297;;;
160501;0000;1,12152;;;
160601;0000;1,28102;;;
160701;0000;1,08864;;;
160801;0000;0,848673;;;
160901;0000;0,639846;;;
161001;0000;0,361787;;;
161101;0000;0,291347;;;
161201;0000;0,142546;;;
170101;0000;0,228348;;;
170201;0000;0,135414;;;
170301;0000;0,241122;;;
170401;0000;0,352034;;;
170501;0000;0,779032;;;
170601;0000;1,55552;;;
170701;0000;1,52538;;;
170801;0000;1,05452;;;
170901;0000;0,79;;;
171001;0000;0,541667;;;
171101;0000;0,491852;;;
171201;0000;0,421786;;;
180101;0000;0,127037;;;
180201;0000;0,179524;;;
180301;0000;0,348667;;;
180401;0000;0,551154;;;
180501;0000;0,7368;;;
180601;0000;1,195;;;
180701;0000;0,914516;;;
180801;0000;0,797742;;;
180901;0000;0,503333;;;
181001;0000;0,297;;;
181101;0000;0,227667;;;
181201;0000;0,193462;;;
190101;0000;0,213448;;;
190201;0000;0,274286;;;
190301;0000;0,378065;;;
190401;0000;0,606333;;;
190501;0000;0,812903;;;
190601;0000;1,11233;;;
190701;0000;1,03774;;;
190801;0000;0,779355;;;
190901;0000;0,334138;;;
191001;0000;0,337273;;;
191101;0000;0,37;;;
191201;0000;0,31;;;
200101;0000;0,41;;;
200201;0000;0,438276;;;
200301;0000;0,576129;;;
200401;0000;0,632667;;;
200501;0000;0,784194;;;
200601;0000;0,899667;;;
200701;0000;1,03516;;;
200801;0000;0,766774;;;
200901;0000;0,641724;;;
201001;0000;0,525484;;;
201101;0000;0,480667;;;
201201;0000;0,47871;;;
210101;0000;0,478065;;;
210201;0000;0,626538;;;
210301;0000;0,554839;;;
210401;0000;0,668571;;;
210501;0000;1,14484;;;
210601;0000;1,182;;;
210701;0000;1,33742;;;
210801;0000;0,890323;;;
210901;0000;0,635333;;;
211001;0000;0,524483;;;
211101;0000;0,438333;;;
211201;0000;0,443448;;;
220101;0000;0,381071;;;
220201;0000;0,429286;;;
220301;0000;0,557742;;;
220401;0000;0,713667;;;
220501;0000;1,13258;;;
220601;0000;1,19533;;;
220701;0000;1,01552;;;
220801;0000;0,863667;;;
220901;0000;0,610333;;;
221001;0000;0,468333;;;
221101;0000;0,414;;;
221201;0000;0,386552;;;
230101;0000;0,353333;;;
230201;0000;0,670357;;;
230301;0000;0,697419;;;
230401;0000;0,832667;;;
230501;0000;1,24333;;;
230601;0000;1,302;;;
230701;0000;1,35833;;;
230801;0000;0,977895;;0,798333;
230901;0000;;;0,835;
231001;0000;;;;
