FECHA (YYMMDD);HORA (HHMM);;
031226;1500;27;
031226;1600;23,8333;
031226;1700;28,0833;
031226;1800;36,5;
031226;1900;41,5833;
031226;2000;48,25;
031226;2100;52,75;
031226;2200;55;
031226;2300;56,1818;
031227;0000;57,1666;
031227;0100;58,9166;
031227;0200;;
031227;0300;62,75;
031227;0400;63,3333;
031227;0500;66,5833;
031227;0600;63,9166;
031227;0700;58,5;
031227;0800;54,1666;
031227;0900;49,0833;
031227;1000;45,8333;
031227;1100;43,6666;
031227;1200;40,3333;
031227;1300;37,5;
031227;1400;32,3333;
031227;1500;22,6667;
031227;1600;22,75;
031227;1700;24,1667;
031227;1800;26,6667;
031227;1900;30,0833;
031227;2000;31,75;
031227;2100;30,9167;
031227;2200;34,5833;
031227;2300;35,75;
031228;0000;36,9166;
031228;0100;40,5833;
031228;0200;43,6666;
031228;0300;51;
031228;0400;58,3333;
031228;0500;62,1666;
031228;0600;54,4166;
031228;0700;37,1666;
031228;0800;33;
031228;0900;28,6667;
031228;1000;25,0833;
031228;1100;20,75;
031228;1200;19,4167;
031228;1300;16,0833;
031228;1400;16,8333;
031228;1500;14,9167;
031228;1600;13;
031228;1700;12,6364;
031228;1800;16,5;
031228;1900;23,5833;
031228;2000;30,8333;
031228;2100;36,0833;
031228;2200;40,1666;
031228;2300;42,8333;
031229;0000;47,4166;
031229;0100;49;
031229;0200;51,5;
031229;0300;54,9166;
031229;0400;57,6666;
031229;0500;60,75;
031229;0600;55,6666;
031229;0700;44,0833;
031229;0800;39,9166;
031229;0900;34,8333;
031229;1000;29,5;
031229;1100;29,3333;
031229;1200;27,0833;
031229;1300;26,5;
031229;1400;22,6667;
031229;1500;21,6667;
031229;1600;24,4167;
031229;1700;32,4166;
031229;1800;35,75;
031229;1900;38,4166;
031229;2000;42,5;
031229;2100;44,3333;
031229;2200;48,1666;
031229;2300;50,0833;
031230;0000;52,1666;
031230;0100;60;
031230;0200;62,75;
031230;0300;64,75;
031230;0400;64,8333;
031230;0500;68,5833;
031230;0600;63,3333;
031230;0700;53,1666;
031230;0800;43,1666;
031230;0900;37,4166;
031230;1000;34,4166;
031230;1100;29,9167;
031230;1200;28,5833;
031230;1300;25,9167;
031230;1400;24,5833;
031230;1500;25,4167;
031230;1600;27,1667;
031230;1700;28,9167;
031230;1800;34,0833;
031230;1900;40,5;
031230;2000;46,5833;
031230;2100;51;
031230;2200;53,5833;
031230;2300;56,8333;
031231;0000;60,25;
031231;0100;64,5;
031231;0200;67,8333;
031231;0300;68,3333;
031231;0400;71,1664;
031231;0500;71,9164;
031231;0600;67,5;
031231;0700;51,6666;
031231;0800;46,3333;
031231;0900;41;
031231;1000;36,6666;
031231;1100;34,6666;
031231;1200;32,75;
031231;1300;29,6667;
031231;1400;31,25;
031231;1500;33;
031231;1600;33,6666;
031231;1700;33,0833;
031231;1800;37,25;
031231;1900;43,1666;
031231;2000;49,75;
031231;2100;53,8333;
031231;2200;56,5;
031231;2300;58,9166;
040101;0000;62,4166;
040101;0100;63,6666;
040101;0200;65,75;
040101;0300;69;
040101;0400;71,5;
040101;0500;73,8333;
040101;0600;69,4164;
040101;0700;55;
040101;0800;48,5;
040101;0900;42,5;
040101;1000;38,0833;
040101;1100;34;
040101;1200;34,0833;
040101;1300;31,3333;
040101;1400;27,75;
040101;1500;24,9167;
040101;1600;29,25;
040101;1700;33,5;
040101;1800;35,6666;
040101;1900;41,9166;
040101;2000;49;
040101;2100;50,0833;
040101;2200;52,8333;
040101;2300;56,0833;
040102;0000;60,3333;
040102;0100;64;
040102;0200;67,1664;
040102;0300;70,0833;
040102;0400;70,5;
040102;0500;73,0833;
040102;0600;67,5833;
040102;0700;52,0833;
040102;0800;44,8333;
040102;0900;40,25;
040102;1000;35,9166;
040102;1100;33,1666;
040102;1200;27,9167;
040102;1300;22,3333;
040102;1400;19,5;
040102;1500;20,4167;
040102;1600;21,5833;
040102;1700;25,3333;
040102;1800;25,9167;
040102;1900;33,5;
040102;2000;42;
040102;2100;48,0833;
040102;2200;49,1666;
040102;2300;49,4166;
040103;0000;49,9166;
040103;0100;55,4166;
040103;0200;58,5833;
040103;0300;61,5833;
040103;0400;66,5;
040103;0500;66,5833;
040103;0600;62,1666;
040103;0700;48,75;
040103;0800;40,8333;
040103;0900;35,8333;
040103;1000;31;
040103;1100;28,5;
040103;1200;29,5833;
040103;1300;24,5833;
040103;1400;19,5833;
040103;1500;22;
040103;1600;21,4167;
040103;1700;21;
040103;1800;26,3333;
040103;1900;34,25;
040103;2000;43,3333;
040103;2100;46,5;
040103;2200;49,3333;
040103;2300;53,25;
040104;0000;58;
040104;0100;61,4166;
040104;0200;65,4164;
040104;0300;70,6664;
040104;0400;73,8333;
040104;0500;75,5;
040104;0600;72,3333;
040104;0700;58,5;
040104;0800;51,6666;
040104;0900;43,9166;
040104;1000;38,3333;
040104;1100;34,9166;
040104;1200;33,4166;
040104;1300;33,25;
040104;1400;34,25;
040104;1500;32,9166;
040104;1600;33,1666;
040104;1700;35,5;
040104;1800;39,25;
040104;1900;42,4166;
040104;2000;47,9166;
040104;2100;52,25;
040104;2200;56,25;
040104;2300;59,4166;
040105;0000;63;
040105;0100;65,5;
040105;0200;67,9164;
040105;0300;70,75;
040105;0400;71;
040105;0500;72,1667;
040105;0600;67,6664;
040105;0700;57,6666;
